2024-12-11 20:06:37,422 - INFO - Step 1650-1675: Avg Loss=0.235474, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:40,217 - INFO - Step 1675-1700: Avg Loss=0.168457, Avg Step Time=0.103s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:43,010 - INFO - Step 1700-1725: Avg Loss=0.672852, Avg Step Time=0.103s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:45,785 - INFO - Step 1725-1750: Avg Loss=0.146240, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:48,546 - INFO - Step 1750-1775: Avg Loss=0.396973, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:51,306 - INFO - Step 1775-1800: Avg Loss=0.115906, Avg Step Time=0.102s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:54,071 - INFO - Step 1800-1825: Avg Loss=0.107178, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:56,983 - INFO - Step 1825-1850: Avg Loss=0.120972, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:59,802 - INFO - Step 1850-1875: Avg Loss=0.011871, Avg Step Time=0.102s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:02,612 - INFO - Step 1875-1900: Avg Loss=0.294189, Avg Step Time=0.103s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:05,517 - INFO - Step 1900-1925: Avg Loss=0.164673, Avg Step Time=0.100s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:08,305 - INFO - Step 1925-1950: Avg Loss=0.374023, Avg Step Time=0.100s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:11,098 - INFO - Step 1950-1975: Avg Loss=0.022842, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
